en,ja
pull request,プルリクエスト
diff,差分
patch,パッチ
repository,リポジトリ
branch,ブランチ
commit,コミット
issue,Issue
token,トークン
parameter,パラメータ
schema,スキーマ
prompt,プロンプト
system prompt,システムプロンプト
tool,ツール
workflow,ワークフロー
model,モデル
language model,言語モデル
default,既定値
return,返す
input,入力
command,コマンド
file,ファイル
error,エラー
create,作成する
write,書き込む
generate,生成する
implement,実装する
execute,実行する
task,タスク
specification,仕様書
spec,仕様書
feature,機能
project,プロジェクト
conversation,会話
message,メッセージ
response,応答
classification,分類
category,カテゴリ
confidence,信頼度
history,履歴
context,文脈
example,例
definition,定義
requirements,要件
document,文書
system,システム
user,ユーザー
assistant,アシスタント
help,ヘルプ
question,質問
answer,回答
information,情報
explanation,説明
clarification,明確化
